wavelenght(nm)	transmitancia	error
215.000000	0.003367	0.000316
220.000000	0.002565	0.000369
225.000000	0.001828	0.000382
230.000000	0.001205	0.000384
235.000000	0.000730	0.000384
240.000000	0.000406	0.000372
245.000000	0.000213	0.000353
250.000000	0.000114	0.000222
255.000000	0.000073	0.000111
260.000000	0.000058	0.000046
265.000000	0.000052	0.000025
270.000000	0.000048	0.000019
275.000000	0.000043	0.000014
280.000000	0.000038	0.000015
285.000000	0.000033	0.000010
290.000000	0.000029	0.000008
295.000000	0.000026	0.000009
300.000000	0.000023	0.000010
305.000000	0.000021	0.000009
310.000000	0.000020	0.000009
315.000000	0.000020	0.000008
320.000000	0.000020	0.000009
325.000000	0.000020	0.000011
330.000000	0.000020	0.000011
335.000000	0.000021	0.000012
340.000000	0.000023	0.000013
345.000000	0.000027	0.000019
350.000000	0.000032	0.000033
355.000000	0.000042	0.000039
360.000000	0.000061	0.000060
365.000000	0.000099	0.000123
370.000000	0.000173	0.000202
375.000000	0.000306	0.000227
380.000000	0.000521	0.000228
385.000000	0.000833	0.000234
390.000000	0.001236	0.000254
395.000000	0.001707	0.000256
400.000000	0.002210	0.000233
405.000000	0.002706	0.000171
410.000000	0.003171	0.000138
415.000000	0.003591	0.000156
420.000000	0.003968	0.000151
425.000000	0.004308	0.000130
430.000000	0.004624	0.000175
435.000000	0.004932	0.000192
440.000000	0.005252	0.000193
445.000000	0.005602	0.000227
450.000000	0.005982	0.000268
455.000000	0.006370	0.000298
460.000000	0.006727	0.000305
465.000000	0.007010	0.000280
470.000000	0.007187	0.000269
475.000000	0.007253	0.000269
480.000000	0.007225	0.000242
485.000000	0.007138	0.000185
490.000000	0.007028	0.000132
495.000000	0.006927	0.000112
500.000000	0.006855	0.000117
505.000000	0.006826	0.000125
510.000000	0.006846	0.000127
515.000000	0.006918	0.000125
520.000000	0.007040	0.000122
525.000000	0.007206	0.000122
530.000000	0.007400	0.000131
535.000000	0.007602	0.000144
540.000000	0.007789	0.000157
545.000000	0.007936	0.000167
550.000000	0.008023	0.000170
555.000000	0.008040	0.000169
560.000000	0.007987	0.000167
565.000000	0.007879	0.000161
570.000000	0.007737	0.000159
575.000000	0.007592	0.000163
580.000000	0.007472	0.000168
585.000000	0.007405	0.000175
590.000000	0.007408	0.000180
595.000000	0.007491	0.000179
600.000000	0.007652	0.000172
605.000000	0.007880	0.000160
610.000000	0.008157	0.000140
615.000000	0.008463	0.000122
620.000000	0.008778	0.000108
625.000000	0.009088	0.000105
630.000000	0.009388	0.000124
635.000000	0.009685	0.000165
640.000000	0.009998	0.000217
645.000000	0.010355	0.000287
650.000000	0.010797	0.000372
655.000000	0.011369	0.000464
660.000000	0.012123	0.000553
665.000000	0.013110	0.000627
670.000000	0.014370	0.000642
675.000000	0.015928	0.000633
680.000000	0.017778	0.000612
685.000000	0.019877	0.000579
690.000000	0.022155	0.000545
695.000000	0.024520	0.000502
700.000000	0.026876	0.000451
705.000000	0.029144	0.000464
710.000000	0.031266	0.000487
715.000000	0.033213	0.000504
720.000000	0.034977	0.000519
725.000000	0.036569	0.000507
730.000000	0.038007	0.000492
735.000000	0.039312	0.000484
740.000000	0.040500	0.000468
745.000000	0.041585	0.000466
750.000000	0.042578	0.000469
755.000000	0.043490	0.000467
760.000000	0.044330	0.000473
765.000000	0.045107	0.000474
770.000000	0.045825	0.000475
