Wavelength	March Data	June Data
280.000000	0.000000	0.000000
281.000000	0.000000	0.000000
282.000000	0.000000	0.000000
283.000000	0.000000	0.000000
284.000000	0.000000	0.000000
285.000000	0.000000	0.000000
286.000000	0.000000	0.000000
287.000000	0.000000	0.000000
288.000000	0.000000	0.000000
289.000000	0.000000	0.000000
290.000000	0.000000	0.000000
291.000000	0.000000	0.000000
292.000000	0.000000	0.000000
293.000000	0.000000	0.000000
294.000000	0.000001	0.000000
295.000000	0.000003	0.000000
296.000000	0.000010	0.000000
297.000000	0.000015	0.000000
298.000000	0.000042	0.000000
299.000000	0.000076	0.000001
300.000000	0.000101	0.000002
301.000000	0.000196	0.000007
302.000000	0.000201	0.000009
303.000000	0.000576	0.000031
304.000000	0.000596	0.000038
305.000000	0.001030	0.000092
306.000000	0.000986	0.000104
307.000000	0.001620	0.000201
308.000000	0.001920	0.000313
309.000000	0.001820	0.000320
310.000000	0.001840	0.000375
311.000000	0.003530	0.000764
312.000000	0.003130	0.000749
313.000000	0.003820	0.000991
314.000000	0.004510	0.001220
315.000000	0.004790	0.001430
316.000000	0.003420	0.001050
317.000000	0.005790	0.001880
318.000000	0.004610	0.001540
319.000000	0.006160	0.002300
320.000000	0.006460	0.002250
321.000000	0.006520	0.002560
322.000000	0.006890	0.002590
323.000000	0.005710	0.002270
324.000000	0.007800	0.003250
325.000000	0.007160	0.002860
326.000000	0.010700	0.004490
327.000000	0.010600	0.004500
328.000000	0.009510	0.003870
329.000000	0.011200	0.004910
330.000000	0.012800	0.005620
331.000000	0.010800	0.004590
332.000000	0.011400	0.005080
333.000000	0.011200	0.005010
334.000000	0.010600	0.004660
335.000000	0.011600	0.005080
336.000000	0.009020	0.004100
337.000000	0.008860	0.003960
338.000000	0.011100	0.004830
339.000000	0.012100	0.005490
340.000000	0.014300	0.006260
341.000000	0.012100	0.005500
342.000000	0.013300	0.006040
343.000000	0.013700	0.006250
344.000000	0.009910	0.004530
345.000000	0.012800	0.005850
346.000000	0.011100	0.005090
347.000000	0.013500	0.006210
348.000000	0.012500	0.005740
349.000000	0.011600	0.005340
350.000000	0.014300	0.006570
351.000000	0.013500	0.006190
352.000000	0.014100	0.006490
353.000000	0.013900	0.006410
354.000000	0.015400	0.007090
355.000000	0.015600	0.007210
356.000000	0.014800	0.006860
357.000000	0.010500	0.004840
358.000000	0.010200	0.004720
359.000000	0.012200	0.005670
360.000000	0.016600	0.007680
361.000000	0.012100	0.005600
362.000000	0.012100	0.005610
363.000000	0.015000	0.006990
364.000000	0.016900	0.007910
365.000000	0.014800	0.006890
366.000000	0.019700	0.009200
367.000000	0.018000	0.008440
368.000000	0.016400	0.007680
369.000000	0.017900	0.008410
370.000000	0.020500	0.009600
371.000000	0.017000	0.008000
372.000000	0.014100	0.006650
373.000000	0.017300	0.008150
374.000000	0.016400	0.007730
375.000000	0.013200	0.006250
376.000000	0.016400	0.007740
377.000000	0.018100	0.008530
378.000000	0.023000	0.010900
379.000000	0.018000	0.008510
380.000000	0.017100	0.008090
381.000000	0.020800	0.009870
382.000000	0.014700	0.006970
383.000000	0.011600	0.005530
384.000000	0.012400	0.005890
385.000000	0.018100	0.008620
386.000000	0.014500	0.006910
387.000000	0.015900	0.007570
388.000000	0.016500	0.007880
389.000000	0.017600	0.008430
390.000000	0.021500	0.010300
391.000000	0.023300	0.011200
392.000000	0.020100	0.009640
393.000000	0.010000	0.004830
394.000000	0.014900	0.007170
395.000000	0.023200	0.011200
396.000000	0.020400	0.009840
397.000000	0.009000	0.004340
398.000000	0.025700	0.012400
399.000000	0.028800	0.013900
400.000000	0.029900	0.014400
401.000000	0.030700	0.014800
402.000000	0.032600	0.015700
403.000000	0.031000	0.015000
404.000000	0.030600	0.014800
405.000000	0.030600	0.014800
406.000000	0.030200	0.014700
407.000000	0.029900	0.014500
408.000000	0.031000	0.015100
409.000000	0.033300	0.016200
410.000000	0.029200	0.014200
411.000000	0.031700	0.015400
412.000000	0.034100	0.016700
413.000000	0.033300	0.016200
414.000000	0.033800	0.016500
415.000000	0.034000	0.016600
416.000000	0.034700	0.017000
417.000000	0.033900	0.016600
418.000000	0.033400	0.016400
419.000000	0.033900	0.016600
420.000000	0.033800	0.016600
421.000000	0.035400	0.017400
422.000000	0.033700	0.016600
423.000000	0.033100	0.016300
424.000000	0.035000	0.017200
425.000000	0.035100	0.017300
426.000000	0.034300	0.016900
427.000000	0.033700	0.016700
428.000000	0.032900	0.016200
429.000000	0.031200	0.015500
430.000000	0.027400	0.013600
431.000000	0.027200	0.013500
432.000000	0.035200	0.017500
433.000000	0.035500	0.017600
434.000000	0.033000	0.016400
435.000000	0.034500	0.017100
436.000000	0.039000	0.019400
437.000000	0.038600	0.019200
438.000000	0.035300	0.017600
439.000000	0.036400	0.018100
440.000000	0.037700	0.018800
441.000000	0.039300	0.019600
442.000000	0.042300	0.021100
443.000000	0.041200	0.020600
444.000000	0.042200	0.021100
445.000000	0.041200	0.020600
446.000000	0.039500	0.019800
447.000000	0.042800	0.021500
448.000000	0.043400	0.021700
449.000000	0.043800	0.022000
450.000000	0.045200	0.022700
451.000000	0.047000	0.023600
452.000000	0.045300	0.022800
453.000000	0.042700	0.021500
454.000000	0.044700	0.022500
455.000000	0.045100	0.022700
456.000000	0.046300	0.023300
457.000000	0.047200	0.023800
458.000000	0.045600	0.023000
459.000000	0.045500	0.022900
460.000000	0.045700	0.023000
461.000000	0.046900	0.023600
462.000000	0.047400	0.023900
463.000000	0.047000	0.023700
464.000000	0.046400	0.023400
465.000000	0.045900	0.023200
466.000000	0.046500	0.023600
467.000000	0.045700	0.023100
468.000000	0.046300	0.023500
469.000000	0.046800	0.023700
470.000000	0.045400	0.023000
471.000000	0.045400	0.023000
472.000000	0.047900	0.024300
473.000000	0.047400	0.024000
474.000000	0.047500	0.024000
475.000000	0.048000	0.024300
476.000000	0.046800	0.023700
477.000000	0.047100	0.023800
478.000000	0.048500	0.024500
479.000000	0.048300	0.024400
480.000000	0.048500	0.024500
481.000000	0.049500	0.025100
482.000000	0.049900	0.025300
483.000000	0.049400	0.025100
484.000000	0.048500	0.024600
485.000000	0.046200	0.023500
486.000000	0.040500	0.020600
487.000000	0.042500	0.021700
488.000000	0.046700	0.023800
489.000000	0.046800	0.023800
490.000000	0.049500	0.025200
491.000000	0.048800	0.024900
492.000000	0.046100	0.023500
493.000000	0.047700	0.024300
494.000000	0.048300	0.024600
495.000000	0.048800	0.024900
496.000000	0.049200	0.025100
497.000000	0.050100	0.025600
498.000000	0.047900	0.024400
499.000000	0.048700	0.024800
500.000000	0.047400	0.024200
501.000000	0.046600	0.023700
502.000000	0.046100	0.023400
503.000000	0.048100	0.024400
504.000000	0.047300	0.023900
505.000000	0.048800	0.024700
506.000000	0.050600	0.025600
507.000000	0.048200	0.024500
508.000000	0.046800	0.023800
509.000000	0.048100	0.024400
510.000000	0.047900	0.024300
511.000000	0.049200	0.025100
512.000000	0.049800	0.025400
513.000000	0.047300	0.024100
514.000000	0.047100	0.024000
515.000000	0.046700	0.023800
516.000000	0.046700	0.023800
517.000000	0.041600	0.021200
518.000000	0.043800	0.022300
519.000000	0.046000	0.023500
520.000000	0.047800	0.024400
521.000000	0.048300	0.024600
522.000000	0.048500	0.024700
523.000000	0.047800	0.024300
524.000000	0.049600	0.025300
525.000000	0.050300	0.025500
526.000000	0.048100	0.024400
527.000000	0.045500	0.023100
528.000000	0.048200	0.024400
529.000000	0.051000	0.025800
530.000000	0.050400	0.025500
531.000000	0.051200	0.025900
532.000000	0.049600	0.025100
533.000000	0.048200	0.024400
534.000000	0.049800	0.025200
535.000000	0.051000	0.025800
536.000000	0.051500	0.026100
537.000000	0.049600	0.025100
538.000000	0.050500	0.025600
539.000000	0.050200	0.025500
540.000000	0.048300	0.024500
541.000000	0.048800	0.024700
542.000000	0.050400	0.025500
543.000000	0.049900	0.025300
544.000000	0.051000	0.025800
545.000000	0.050800	0.025700
546.000000	0.051200	0.025900
547.000000	0.051200	0.025900
548.000000	0.050600	0.025600
549.000000	0.050900	0.025700
550.000000	0.051600	0.026100
551.000000	0.051100	0.025900
552.000000	0.051600	0.026100
553.000000	0.050700	0.025700
554.000000	0.052100	0.026300
555.000000	0.052300	0.026400
556.000000	0.051700	0.026100
557.000000	0.050200	0.025400
558.000000	0.049900	0.025200
559.000000	0.049100	0.024800
560.000000	0.049900	0.025100
561.000000	0.050700	0.025500
562.000000	0.050400	0.025400
563.000000	0.051900	0.026100
564.000000	0.050600	0.025400
565.000000	0.050300	0.025200
566.000000	0.049700	0.024900
567.000000	0.050800	0.025400
568.000000	0.050500	0.025300
569.000000	0.049700	0.024800
570.000000	0.049700	0.024800
571.000000	0.049400	0.024600
572.000000	0.050800	0.025300
573.000000	0.051500	0.025600
574.000000	0.051400	0.025500
575.000000	0.050600	0.025100
576.000000	0.050200	0.024900
577.000000	0.050800	0.025200
578.000000	0.050100	0.024800
579.000000	0.050200	0.025000
580.000000	0.051200	0.025600
581.000000	0.051500	0.025800
582.000000	0.052500	0.026400
583.000000	0.052700	0.026500
584.000000	0.053200	0.026800
585.000000	0.052000	0.026200
586.000000	0.051000	0.025700
