wavelength (nm)	March 20th	June 21st
280	4.80E-20	1.93E-21
281	2.21E-18	5.58E-21
282	1.30E-16	2.25E-19
283	1.63E-15	2.04E-18
284	2.91E-14	5.18E-17
285	1.02E-13	1.60E-16
286	1.84E-12	3.10E-15
287	1.50E-11	3.40E-14
288	1.46E-10	2.56E-13
289	1.20E-09	2.06E-12
290	8.34E-09	1.60E-11
291	3.14E-08	6.33E-11
292	1.67E-07	3.51E-10
293	4.50E-07	1.06E-09
294	1.19E-06	3.88E-09
295	3.03E-06	1.03E-08
296	1.01E-05	4.80E-08
297	1.45E-05	9.30E-08
298	4.24E-05	4.01E-07
299	7.63E-05	9.71E-07
300	1.01E-04	1.95E-06
301	1.96E-04	6.66E-06
302	2.01E-04	8.56E-06
303	5.76E-04	3.15E-05
304	5.96E-04	3.84E-05
305	1.03E-03	9.23E-05
306	9.86E-04	1.04E-04
307	1.62E-03	2.01E-04
308	1.92E-03	3.13E-04
309	1.82E-03	3.20E-04
310	1.84E-03	3.75E-04
311	3.53E-03	7.64E-04
312	3.13E-03	7.49E-04
313	3.82E-03	9.91E-04
314	4.51E-03	1.22E-03
315	4.79E-03	1.43E-03
316	3.42E-03	1.05E-03
317	5.79E-03	1.88E-03
318	4.61E-03	1.54E-03
319	6.16E-03	2.30E-03
320	6.46E-03	2.25E-03
321	6.52E-03	2.56E-03
322	6.89E-03	2.59E-03
323	5.71E-03	2.27E-03
324	7.80E-03	3.25E-03
325	7.16E-03	2.86E-03
326	1.07E-02	4.49E-03
327	1.06E-02	4.50E-03
328	9.51E-03	3.87E-03
329	1.12E-02	4.91E-03
330	1.28E-02	5.62E-03
331	1.08E-02	4.59E-03
332	1.14E-02	5.08E-03
333	1.12E-02	5.01E-03
334	1.06E-02	4.66E-03
335	1.16E-02	5.08E-03
336	9.02E-03	4.10E-03
337	8.86E-03	3.96E-03
338	1.11E-02	4.83E-03
339	1.21E-02	5.49E-03
340	1.43E-02	6.26E-03
341	1.21E-02	5.50E-03
342	1.33E-02	6.04E-03
343	1.37E-02	6.25E-03
344	9.91E-03	4.53E-03
345	1.28E-02	5.85E-03
346	1.11E-02	5.09E-03
347	1.35E-02	6.21E-03
348	1.25E-02	5.74E-03
349	1.16E-02	5.34E-03
350	1.43E-02	6.57E-03
351	1.35E-02	6.19E-03
352	1.41E-02	6.49E-03
353	1.39E-02	6.41E-03
354	1.54E-02	7.09E-03
355	1.56E-02	7.21E-03
356	1.48E-02	6.86E-03
357	1.05E-02	4.84E-03
358	1.02E-02	4.72E-03
359	1.22E-02	5.67E-03
360	1.66E-02	7.68E-03
361	1.21E-02	5.60E-03
362	1.21E-02	5.61E-03
363	1.50E-02	6.99E-03
364	1.69E-02	7.91E-03
365	1.48E-02	6.89E-03
366	1.97E-02	9.20E-03
367	1.80E-02	8.44E-03
368	1.64E-02	7.68E-03
369	1.79E-02	8.41E-03
370	2.05E-02	9.60E-03
371	1.70E-02	8.00E-03
372	1.41E-02	6.65E-03
373	1.73E-02	8.15E-03
