k_values_deg values errors
3.098360888337137742e-01 3.808593749999115204e-03 8.725515604135142614e-03 2.911060291808913875e-04
2.655737904288975604e-01 4.101562499999115464e-03 7.479013374972980251e-03 4.377067061839395585e-04
5.975410284650195525e-01 3.173828125000890781e-03 1.682778009368920621e-02 3.577744927618011915e-04
8.852459680963251643e-01 4.296874999999115638e-03 2.493004458324326808e-02 3.299321990585531812e-04
6.639344760722438732e-01 3.417968749999114857e-03 1.869753343743245019e-02 2.188906558091002893e-04
4.426229840481625821e-01 3.613281249999115031e-03 1.246502229162163404e-02 2.824066852403894073e-04
2.213114920240812911e-01 4.541015624999115638e-03 6.232511145810817020e-03 3.534345643551430939e-04
5.311475808577951208e-01 3.417968749999114857e-03 1.495802674994596050e-02 3.823641039661524192e-04
7.524590728818764118e-01 3.369140624999114597e-03 2.119053789575677665e-02 3.653067494685481240e-04
8.144262906486191556e-01 3.808593749999115204e-03 2.293564101658380691e-02 4.187292900799252583e-04
