R	G	B	L	M	S
0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00
0.000000000000000000e+00	0.000000000000000000e+00	1.020000000000000000e+02	1.521857615336893836e-02	2.115841326678673945e-02	7.971193987261566971e-02
0.000000000000000000e+00	0.000000000000000000e+00	1.250000000000000000e+02	1.873743116308999868e-02	2.652514280106663819e-02	1.181060474445645436e-01
0.000000000000000000e+00	0.000000000000000000e+00	1.400000000000000000e+02	2.579692295106396013e-02	3.638424596487507823e-02	1.561317988917851340e-01
0.000000000000000000e+00	0.000000000000000000e+00	1.510000000000000000e+02	3.658213497000561976e-02	5.054268832659679356e-02	1.897520105496179610e-01
0.000000000000000000e+00	0.000000000000000000e+00	1.760000000000000000e+02	4.613116715008132307e-02	6.456532714454124577e-02	2.649795187966632604e-01
0.000000000000000000e+00	0.000000000000000000e+00	2.040000000000000000e+02	7.224809563775692889e-02	9.958210833602107459e-02	3.780657215181330022e-01
0.000000000000000000e+00	0.000000000000000000e+00	2.200000000000000000e+02	7.951755336626906145e-02	1.107437058875613695e-01	4.448841946086044552e-01
0.000000000000000000e+00	0.000000000000000000e+00	2.540000000000000000e+02	1.098855734532073469e-01	1.526876534613679781e-01	6.098530686443299764e-01
0.000000000000000000e+00	0.000000000000000000e+00	5.100000000000000000e+01	2.547512172719556579e-03	3.625350887481693877e-03	1.653527563059349267e-02
0.000000000000000000e+00	0.000000000000000000e+00	6.000000000000000000e+01	1.439510841714502967e-03	2.035353753562384963e-03	1.899880501027863267e-02
0.000000000000000000e+00	0.000000000000000000e+00	7.600000000000000000e+01	4.121466052949425939e-03	5.936669433263689136e-03	3.668065980136224480e-02
0.000000000000000000e+00	1.020000000000000000e+02	0.000000000000000000e+00	1.349728020554990249e-01	1.367102176350799281e-01	1.160888769806584907e-03
0.000000000000000000e+00	1.020000000000000000e+02	1.020000000000000000e+02	1.547819152346432414e-01	1.626420898728458131e-01	8.379110237159881347e-02
0.000000000000000000e+00	1.020000000000000000e+02	1.510000000000000000e+02	1.774571584484473386e-01	1.933302301786603561e-01	1.943572178429549269e-01
0.000000000000000000e+00	1.020000000000000000e+02	2.040000000000000000e+02	2.141496042716266590e-01	2.434985664719749865e-01	3.831515266044291934e-01
0.000000000000000000e+00	1.020000000000000000e+02	5.100000000000000000e+01	1.400597511408697982e-01	1.432350146850439321e-01	1.972266895338256262e-02
0.000000000000000000e+00	1.250000000000000000e+02	0.000000000000000000e+00	1.942128697686965610e-01	1.968217836019691414e-01	1.633158554695299681e-03
0.000000000000000000e+00	1.400000000000000000e+02	0.000000000000000000e+00	2.561059943431437391e-01	2.594648386540330254e-01	2.256169965456557291e-03
0.000000000000000000e+00	1.510000000000000000e+02	0.000000000000000000e+00	3.084206997854519461e-01	3.123240534203262087e-01	3.076146972175020696e-03
0.000000000000000000e+00	1.510000000000000000e+02	1.020000000000000000e+02	3.311505199510016428e-01	3.413986032102674373e-01	8.687202275062869128e-02
0.000000000000000000e+00	1.510000000000000000e+02	1.510000000000000000e+02	3.542229553678937770e-01	3.727582047288572342e-01	1.978353055488238366e-01
0.000000000000000000e+00	1.510000000000000000e+02	2.040000000000000000e+02	3.924026698199360452e-01	4.246602679961617444e-01	3.862388705745621875e-01
0.000000000000000000e+00	1.510000000000000000e+02	5.100000000000000000e+01	3.152152726895002255e-01	3.206832105575264102e-01	2.262865024240168221e-02
0.000000000000000000e+00	1.760000000000000000e+02	0.000000000000000000e+00	4.344146835223584024e-01	4.403497622178915716e-01	4.030982571550714537e-03
0.000000000000000000e+00	2.040000000000000000e+02	0.000000000000000000e+00	6.127175156444515380e-01	6.209133284125575303e-01	7.607048296736228406e-03
0.000000000000000000e+00	2.040000000000000000e+02	1.020000000000000000e+02	6.374370612991760998e-01	6.522140105640589214e-01	9.197519114107725879e-02
0.000000000000000000e+00	2.040000000000000000e+02	1.510000000000000000e+02	6.617180214127006410e-01	6.849113474537517066e-01	2.038492109410851016e-01
0.000000000000000000e+00	2.040000000000000000e+02	2.040000000000000000e+02	7.020462081412045530e-01	7.391661967760215779e-01	3.927629809910947456e-01
0.000000000000000000e+00	2.040000000000000000e+02	5.100000000000000000e+01	6.216622664666574538e-01	6.313996152585950039e-01	2.714649087930507201e-02
0.000000000000000000e+00	2.200000000000000000e+02	0.000000000000000000e+00	7.192417499772392198e-01	7.292697252283942833e-01	6.987444918727364791e-03
0.000000000000000000e+00	2.540000000000000000e+02	0.000000000000000000e+00	9.864486834262637949e-01	1.000000000000000000e+00	9.792554809144912720e-03
0.000000000000000000e+00	5.100000000000000000e+01	0.000000000000000000e+00	3.120010957087019851e-02	3.170824138309472767e-02	1.444577224724215043e-04
0.000000000000000000e+00	5.100000000000000000e+01	1.020000000000000000e+02	4.844510313078679437e-02	5.498784562006098914e-02	8.137206733254125079e-02
0.000000000000000000e+00	5.100000000000000000e+01	1.510000000000000000e+02	7.000583200230063585e-02	8.450983870465299252e-02	1.916559463179502709e-01
0.000000000000000000e+00	5.100000000000000000e+01	2.040000000000000000e+02	1.061295825066425613e-01	1.339175274099352331e-01	3.800364707013041410e-01
0.000000000000000000e+00	5.100000000000000000e+01	5.100000000000000000e+01	3.534815359473410940e-02	3.721892248510477730e-02	1.759473500614933822e-02
0.000000000000000000e+00	6.000000000000000000e+01	0.000000000000000000e+00	3.516646522936492381e-02	3.565582802332845080e-02	1.493189734229587032e-04
0.000000000000000000e+00	7.600000000000000000e+01	0.000000000000000000e+00	6.481652888569722215e-02	6.571204749276124413e-02	3.649804099333174264e-04
1.020000000000000000e+02	0.000000000000000000e+00	0.000000000000000000e+00	5.857206013339377043e-02	1.712658351331774326e-02	6.884244003034163558e-11
1.020000000000000000e+02	0.000000000000000000e+00	1.020000000000000000e+02	7.661430023972214121e-02	4.028531975184215103e-02	8.278610207443716507e-02
1.020000000000000000e+02	0.000000000000000000e+00	1.510000000000000000e+02	9.926806346068201004e-02	7.042827153293659825e-02	1.932340517781772904e-01
1.020000000000000000e+02	0.000000000000000000e+00	2.040000000000000000e+02	1.356466474264793054e-01	1.199546840095233741e-01	3.818337230787515746e-01
1.020000000000000000e+02	0.000000000000000000e+00	5.100000000000000000e+01	6.252117965602868588e-02	2.209609496671795584e-02	1.851712320009691118e-02
1.020000000000000000e+02	1.020000000000000000e+02	0.000000000000000000e+00	2.003501214539439856e-01	1.590857495050667647e-01	1.280033430073241859e-03
1.020000000000000000e+02	1.020000000000000000e+02	1.020000000000000000e+02	2.241580073116515581e-01	1.879592277916135035e-01	8.758237392664817988e-02
1.020000000000000000e+02	1.020000000000000000e+02	1.510000000000000000e+02	2.473078594758241766e-01	2.189586469961420367e-01	2.001731024010427740e-01
1.020000000000000000e+02	1.020000000000000000e+02	2.040000000000000000e+02	2.846144475749472491e-01	2.698007860685630033e-01	3.900721777681780966e-01
1.020000000000000000e+02	1.020000000000000000e+02	5.100000000000000000e+01	2.072599970187663787e-01	1.669190437639156421e-01	2.129486519377423240e-02
1.020000000000000000e+02	1.510000000000000000e+02	0.000000000000000000e+00	3.771665971571419029e-01	3.376825519039695078e-01	3.752337186175020833e-03
1.020000000000000000e+02	1.510000000000000000e+02	1.020000000000000000e+02	4.025915168345836070e-01	3.687471652663215638e-01	9.061292414042146359e-02
1.020000000000000000e+02	1.510000000000000000e+02	1.510000000000000000e+02	4.278733954990526223e-01	4.019102048768191104e-01	2.037398030433154872e-01
1.020000000000000000e+02	1.510000000000000000e+02	2.040000000000000000e+02	4.661191001527258959e-01	4.537132606846698279e-01	3.928835575954185422e-01
1.020000000000000000e+02	1.510000000000000000e+02	5.100000000000000000e+01	3.854619204431976587e-01	3.469421539839377955e-01	2.463379134721589356e-02
1.020000000000000000e+02	2.040000000000000000e+02	0.000000000000000000e+00	6.814501554321887866e-01	6.463245414338519845e-01	9.405513993546782067e-03
1.020000000000000000e+02	2.040000000000000000e+02	1.020000000000000000e+02	7.106939181980426179e-01	6.805154804861114348e-01	9.549217963857431490e-02
1.020000000000000000e+02	2.040000000000000000e+02	1.510000000000000000e+02	7.359352338747302547e-01	7.140669737394015337e-01	2.084268396917180466e-01
1.020000000000000000e+02	2.040000000000000000e+02	2.040000000000000000e+02	7.765995213475238579e-01	7.688796549263370306e-01	3.986928454151683066e-01
1.020000000000000000e+02	2.040000000000000000e+02	5.100000000000000000e+01	6.928356537601350063e-01	6.585814136437266875e-01	2.885588609798912796e-02
1.020000000000000000e+02	5.100000000000000000e+01	0.000000000000000000e+00	9.290743908370568960e-02	5.119090125255570944e-02	1.872134633288151319e-04
1.020000000000000000e+02	5.100000000000000000e+01	1.020000000000000000e+02	1.122635299707983453e-01	7.564332289129936659e-02	8.451008844424061361e-02
1.020000000000000000e+02	5.100000000000000000e+01	1.510000000000000000e+02	1.349105302767086567e-01	1.060937692633752427e-01	1.965033279443834102e-01
1.020000000000000000e+02	5.100000000000000000e+01	2.040000000000000000e+02	1.712635736635019224e-01	1.555120585484650597e-01	3.854571014057911471e-01
1.020000000000000000e+02	5.100000000000000000e+01	5.100000000000000000e+01	9.755798964541123608e-02	5.686841520456159538e-02	1.969676942749071583e-02
1.250000000000000000e+02	0.000000000000000000e+00	0.000000000000000000e+00	8.458953130651147845e-02	2.435202866096351088e-02	6.532268642407312733e-11
1.400000000000000000e+02	0.000000000000000000e+00	0.000000000000000000e+00	1.117154270453891013e-01	3.236128408060715000e-02	9.958468459354976508e-11
1.510000000000000000e+02	0.000000000000000000e+00	0.000000000000000000e+00	1.350307886326950479e-01	3.969742175675633478e-02	4.536747115263316081e-04
1.510000000000000000e+02	0.000000000000000000e+00	1.020000000000000000e+02	1.550129445722585875e-01	6.446291797121700418e-02	8.432081537692891204e-02
1.510000000000000000e+02	0.000000000000000000e+00	1.510000000000000000e+02	1.774988143676497210e-01	9.463351000678743574e-02	1.958733943323590909e-01
1.510000000000000000e+02	0.000000000000000000e+00	2.040000000000000000e+02	2.137599154404686008e-01	1.439455423587028549e-01	3.847221180034605670e-01
1.510000000000000000e+02	0.000000000000000000e+00	5.100000000000000000e+01	1.401227585855775448e-01	4.602764630336581703e-02	2.002834165655292473e-02
1.510000000000000000e+02	1.020000000000000000e+02	0.000000000000000000e+00	2.786861554856476242e-01	1.835046978053219702e-01	2.836448419583716390e-03
1.510000000000000000e+02	1.020000000000000000e+02	1.020000000000000000e+02	3.035246477493983019e-01	2.123993303245453046e-01	8.953498334763947131e-02
1.510000000000000000e+02	1.020000000000000000e+02	1.510000000000000000e+02	3.276207221540804460e-01	2.441821440123874976e-01	2.024975334426940554e-01
1.510000000000000000e+02	1.020000000000000000e+02	2.040000000000000000e+02	3.648839586889728870e-01	2.948704765034232955e-01	3.916442001467656531e-01
1.510000000000000000e+02	1.020000000000000000e+02	5.100000000000000000e+01	2.864298925002325413e-01	1.915360191874204976e-01	2.303951654424374329e-02
1.510000000000000000e+02	1.510000000000000000e+02	0.000000000000000000e+00	4.555744904037385967e-01	3.619735088570358861e-01	5.815249104675450365e-03
1.510000000000000000e+02	1.510000000000000000e+02	1.020000000000000000e+02	4.838741137004247128e-01	3.944445102920009494e-01	9.253387636077257949e-02
1.510000000000000000e+02	1.510000000000000000e+02	1.510000000000000000e+02	5.088292426426014314e-01	4.274469817106877900e-01	2.060311211868063874e-01
1.510000000000000000e+02	1.510000000000000000e+02	2.040000000000000000e+02	5.481179618848077695e-01	4.802334396765001179e-01	3.958952894848034587e-01
1.510000000000000000e+02	1.510000000000000000e+02	5.100000000000000000e+01	4.656970328532051839e-01	3.724576995551116543e-01	2.603719224213391428e-02
1.510000000000000000e+02	2.040000000000000000e+02	0.000000000000000000e+00	7.618854282542925072e-01	6.720336782227054329e-01	1.093926104033243578e-02
1.510000000000000000e+02	2.040000000000000000e+02	1.020000000000000000e+02	7.920800485749868169e-01	7.066474123939145979e-01	9.729657068710337309e-02
1.510000000000000000e+02	2.040000000000000000e+02	1.510000000000000000e+02	8.182698238841917826e-01	7.409271760021456377e-01	2.107380863246419711e-01
1.510000000000000000e+02	2.040000000000000000e+02	2.040000000000000000e+02	8.596795576319959942e-01	7.957703573233265715e-01	4.007304526426982427e-01
1.510000000000000000e+02	2.040000000000000000e+02	5.100000000000000000e+01	7.737448462452526377e-01	6.841734314088507851e-01	3.093600977676488548e-02
1.510000000000000000e+02	5.100000000000000000e+01	0.000000000000000000e+00	1.706020049396319571e-01	7.515579379235209911e-02	7.171486724497434838e-04
1.510000000000000000e+02	5.100000000000000000e+01	1.020000000000000000e+02	1.910473632686829348e-01	1.000169320493268371e-01	8.671694456756144642e-02
1.510000000000000000e+02	5.100000000000000000e+01	1.510000000000000000e+02	2.141853997378777852e-01	1.307146035112420612e-01	1.991106348741487897e-01
1.510000000000000000e+02	5.100000000000000000e+01	2.040000000000000000e+02	2.508440344130057342e-01	1.804651547195356975e-01	3.882037209546342904e-01
1.510000000000000000e+02	5.100000000000000000e+01	5.100000000000000000e+01	1.764935096222406130e-01	8.149888667881512172e-02	2.128938395401965694e-02
