R	G	B	S	S_error
0.000000000000000000e+00	0.000000000000000000e+00	1.020000000000000000e+02	1.249112823846784721e+02	-9.109703548107380300e+01
0.000000000000000000e+00	0.000000000000000000e+00	1.270000000000000000e+02	2.366957674656099471e+02	-2.798093081536467253e+01
0.000000000000000000e+00	0.000000000000000000e+00	1.530000000000000000e+02	3.821345266845623314e+02	4.540526024086409507e+01
0.000000000000000000e+00	0.000000000000000000e+00	1.780000000000000000e+02	5.776330891365528259e+02	1.479573001593516892e+02
0.000000000000000000e+00	0.000000000000000000e+00	2.040000000000000000e+02	8.211750628514384971e+02	2.671345971794146408e+02
0.000000000000000000e+00	0.000000000000000000e+00	2.290000000000000000e+02	1.113870020770175643e+03	4.107818779817120003e+02
0.000000000000000000e+00	0.000000000000000000e+00	2.540000000000000000e+02	1.450915640629502377e+03	5.671973911425527604e+02
0.000000000000000000e+00	0.000000000000000000e+00	5.100000000000000000e+01	7.305743678697244725e+00	-1.588008884512464078e+02
0.000000000000000000e+00	0.000000000000000000e+00	7.600000000000000000e+01	5.037458248531559235e+01	-1.330787229316116225e+02
0.000000000000000000e+00	1.020000000000000000e+02	0.000000000000000000e+00	1.733616694572007511e+00	-1.740651278121188454e+02
0.000000000000000000e+00	1.020000000000000000e+02	1.020000000000000000e+02	5.945365085491861379e+01	-1.748893165958349414e+02
0.000000000000000000e+00	1.020000000000000000e+02	1.530000000000000000e+02	2.482283235611365626e+02	-1.068355924675629467e+02
0.000000000000000000e+00	1.020000000000000000e+02	2.040000000000000000e+02	5.911558251573294456e+02	1.878070990030425946e+01
0.000000000000000000e+00	1.020000000000000000e+02	5.100000000000000000e+01	4.127520768257149975e+00	-1.803137609466877791e+02
0.000000000000000000e+00	1.270000000000000000e+02	0.000000000000000000e+00	3.736823299590898984e+00	-1.832301450317986564e+02
0.000000000000000000e+00	1.530000000000000000e+02	0.000000000000000000e+00	6.036796391872469414e+00	-1.956240802259236204e+02
0.000000000000000000e+00	1.530000000000000000e+02	1.020000000000000000e+02	7.004498325339129394e+01	-1.901601163084674795e+02
0.000000000000000000e+00	1.530000000000000000e+02	1.530000000000000000e+02	2.581288112558829653e+02	-1.227972368839217552e+02
0.000000000000000000e+00	1.530000000000000000e+02	2.040000000000000000e+02	6.043453060359810252e+02	6.108058667850627899e+00
0.000000000000000000e+00	1.530000000000000000e+02	5.100000000000000000e+01	1.327895188127055270e+01	-1.970244619447795742e+02
