R	G	B	S_error
0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	-1.433438981072756349e+02
0.000000000000000000e+00	0.000000000000000000e+00	1.020000000000000000e+02	-7.838557271699080786e+01
0.000000000000000000e+00	0.000000000000000000e+00	1.270000000000000000e+02	-1.644056233211088625e+01
0.000000000000000000e+00	0.000000000000000000e+00	1.530000000000000000e+02	5.521184695915013663e+01
0.000000000000000000e+00	0.000000000000000000e+00	1.780000000000000000e+02	1.555273394512946652e+02
0.000000000000000000e+00	0.000000000000000000e+00	2.040000000000000000e+02	2.717120823659629423e+02
0.000000000000000000e+00	0.000000000000000000e+00	2.290000000000000000e+02	4.117728685951359466e+02
0.000000000000000000e+00	0.000000000000000000e+00	2.540000000000000000e+02	5.638419275880872874e+02
0.000000000000000000e+00	0.000000000000000000e+00	2.500000000000000000e+01	-1.445809518228931836e+02
0.000000000000000000e+00	0.000000000000000000e+00	5.100000000000000000e+01	-1.448886547087507779e+02
0.000000000000000000e+00	0.000000000000000000e+00	7.600000000000000000e+01	-1.195838975701733204e+02
0.000000000000000000e+00	1.020000000000000000e+02	0.000000000000000000e+00	-1.623455102056072121e+02
0.000000000000000000e+00	1.020000000000000000e+02	1.020000000000000000e+02	-1.645784330396542714e+02
0.000000000000000000e+00	1.020000000000000000e+02	1.530000000000000000e+02	-9.942958495717925871e+01
0.000000000000000000e+00	1.020000000000000000e+02	2.040000000000000000e+02	2.095761587895026423e+01
0.000000000000000000e+00	1.020000000000000000e+02	5.100000000000000000e+01	-1.688021064120945027e+02
0.000000000000000000e+00	1.270000000000000000e+02	0.000000000000000000e+00	-1.729727973082469816e+02
0.000000000000000000e+00	1.530000000000000000e+02	0.000000000000000000e+00	-1.872906247781222078e+02
0.000000000000000000e+00	1.530000000000000000e+02	1.020000000000000000e+02	-1.832353949109970017e+02
0.000000000000000000e+00	1.530000000000000000e+02	1.530000000000000000e+02	-1.187773915322482594e+02
0.000000000000000000e+00	1.530000000000000000e+02	2.040000000000000000e+02	4.898802487786383608e+00
0.000000000000000000e+00	1.530000000000000000e+02	5.100000000000000000e+01	-1.888989695688964900e+02
0.000000000000000000e+00	1.780000000000000000e+02	0.000000000000000000e+00	-2.020691004372627617e+02
0.000000000000000000e+00	2.040000000000000000e+02	0.000000000000000000e+00	-2.193746489960123824e+02
0.000000000000000000e+00	2.040000000000000000e+02	1.020000000000000000e+02	-2.147920417375836735e+02
0.000000000000000000e+00	2.040000000000000000e+02	1.530000000000000000e+02	-1.479372324048655969e+02
0.000000000000000000e+00	2.040000000000000000e+02	2.040000000000000000e+02	-2.503756902089094183e+01
0.000000000000000000e+00	2.040000000000000000e+02	5.100000000000000000e+01	-2.180451280623005346e+02
0.000000000000000000e+00	2.290000000000000000e+02	0.000000000000000000e+00	-2.389533892624315001e+02
0.000000000000000000e+00	2.540000000000000000e+02	0.000000000000000000e+00	-2.596854782768523364e+02
0.000000000000000000e+00	2.500000000000000000e+01	0.000000000000000000e+00	-1.443246886688034181e+02
0.000000000000000000e+00	5.100000000000000000e+01	0.000000000000000000e+00	-1.479114005708825061e+02
0.000000000000000000e+00	5.100000000000000000e+01	1.020000000000000000e+02	-1.536682158862601284e+02
0.000000000000000000e+00	5.100000000000000000e+01	1.530000000000000000e+02	-9.042638903789239180e+01
0.000000000000000000e+00	5.100000000000000000e+01	2.040000000000000000e+02	3.161771119913419170e+01
0.000000000000000000e+00	5.100000000000000000e+01	5.100000000000000000e+01	-1.561974258582093569e+02
0.000000000000000000e+00	7.600000000000000000e+01	0.000000000000000000e+00	-1.538033983180311566e+02
1.020000000000000000e+02	0.000000000000000000e+00	0.000000000000000000e+00	-1.532424389387655594e+02
1.020000000000000000e+02	0.000000000000000000e+00	1.020000000000000000e+02	-1.565282428320765575e+02
1.020000000000000000e+02	0.000000000000000000e+00	1.530000000000000000e+02	-9.218753228658337662e+01
1.020000000000000000e+02	0.000000000000000000e+00	2.040000000000000000e+02	3.133655520601803346e+01
1.020000000000000000e+02	0.000000000000000000e+00	5.100000000000000000e+01	-1.611674841145544406e+02
1.020000000000000000e+02	1.020000000000000000e+02	0.000000000000000000e+00	9.605158152678720853e+02
1.020000000000000000e+02	1.020000000000000000e+02	1.020000000000000000e+02	-1.686035936786532261e+02
1.020000000000000000e+02	1.020000000000000000e+02	1.530000000000000000e+02	-9.837412712703104489e+01
1.020000000000000000e+02	1.020000000000000000e+02	2.040000000000000000e+02	2.832384718283992697e+01
1.020000000000000000e+02	1.020000000000000000e+02	5.100000000000000000e+01	-1.758684649120107792e+02
1.020000000000000000e+02	1.530000000000000000e+02	0.000000000000000000e+00	9.421263446312473206e+02
1.020000000000000000e+02	1.530000000000000000e+02	1.020000000000000000e+02	-1.888999381179406782e+02
1.020000000000000000e+02	1.530000000000000000e+02	1.530000000000000000e+02	-1.173996363981709692e+02
1.020000000000000000e+02	1.530000000000000000e+02	2.040000000000000000e+02	1.242343901417757479e+01
1.020000000000000000e+02	1.530000000000000000e+02	5.100000000000000000e+01	-1.943264822138962131e+02
1.020000000000000000e+02	2.040000000000000000e+02	0.000000000000000000e+00	9.110864804657348941e+02
1.020000000000000000e+02	2.040000000000000000e+02	1.020000000000000000e+02	-2.189846885664842091e+02
1.020000000000000000e+02	2.040000000000000000e+02	1.530000000000000000e+02	-1.483903137057783397e+02
1.020000000000000000e+02	2.040000000000000000e+02	2.040000000000000000e+02	-1.727384316944289822e+01
1.020000000000000000e+02	2.040000000000000000e+02	5.100000000000000000e+01	-2.240888258832418387e+02
1.020000000000000000e+02	5.100000000000000000e+01	0.000000000000000000e+00	9.658945309319084345e+02
1.020000000000000000e+02	5.100000000000000000e+01	1.020000000000000000e+02	-1.577433687657351413e+02
1.020000000000000000e+02	5.100000000000000000e+01	1.530000000000000000e+02	-9.052109022079352485e+01
1.020000000000000000e+02	5.100000000000000000e+01	2.040000000000000000e+02	3.521305433856571199e+01
1.020000000000000000e+02	5.100000000000000000e+01	5.100000000000000000e+01	-1.649200416699766549e+02
1.270000000000000000e+02	0.000000000000000000e+00	0.000000000000000000e+00	-1.611376584864320023e+02
1.530000000000000000e+02	0.000000000000000000e+00	0.000000000000000000e+00	-1.732239206936240237e+02
1.530000000000000000e+02	0.000000000000000000e+00	1.020000000000000000e+02	-1.724391198018554974e+02
1.530000000000000000e+02	0.000000000000000000e+00	1.530000000000000000e+02	-1.071341801848988666e+02
1.530000000000000000e+02	0.000000000000000000e+00	2.040000000000000000e+02	1.780733873956080515e+01
1.530000000000000000e+02	0.000000000000000000e+00	5.100000000000000000e+01	-1.768315829027214079e+02
1.530000000000000000e+02	1.020000000000000000e+02	0.000000000000000000e+00	9.494640410468562095e+02
1.530000000000000000e+02	1.020000000000000000e+02	1.020000000000000000e+02	-1.843770214640586005e+02
1.530000000000000000e+02	1.020000000000000000e+02	1.530000000000000000e+02	-1.130541660077408892e+02
1.530000000000000000e+02	1.020000000000000000e+02	2.040000000000000000e+02	1.562819586709997566e+01
1.530000000000000000e+02	1.020000000000000000e+02	5.100000000000000000e+01	-1.911063241114323432e+02
1.530000000000000000e+02	1.530000000000000000e+02	0.000000000000000000e+00	9.294639629971948125e+02
1.530000000000000000e+02	1.530000000000000000e+02	1.020000000000000000e+02	-2.040125953769685623e+02
1.530000000000000000e+02	1.530000000000000000e+02	1.530000000000000000e+02	-1.314663412959857283e+02
1.530000000000000000e+02	1.530000000000000000e+02	2.040000000000000000e+02	1.867648125178220653e-01
1.530000000000000000e+02	1.530000000000000000e+02	5.100000000000000000e+01	-2.100284741915242535e+02
1.530000000000000000e+02	2.040000000000000000e+02	0.000000000000000000e+00	8.976983391746223333e+02
1.530000000000000000e+02	2.040000000000000000e+02	1.020000000000000000e+02	-2.350908912354542508e+02
1.530000000000000000e+02	2.040000000000000000e+02	1.530000000000000000e+02	-1.614258553592439398e+02
1.530000000000000000e+02	2.040000000000000000e+02	2.040000000000000000e+02	-2.829883495156434492e+01
1.530000000000000000e+02	2.040000000000000000e+02	5.100000000000000000e+01	-2.397977246021177962e+02
1.530000000000000000e+02	5.100000000000000000e+01	0.000000000000000000e+00	9.517633837930588925e+02
1.530000000000000000e+02	5.100000000000000000e+01	1.020000000000000000e+02	-1.736341370722584543e+02
1.530000000000000000e+02	5.100000000000000000e+01	1.530000000000000000e+02	-1.051558602948579164e+02
1.530000000000000000e+02	5.100000000000000000e+01	2.040000000000000000e+02	2.266237099515728914e+01
1.530000000000000000e+02	5.100000000000000000e+01	5.100000000000000000e+01	-1.800082043011803989e+02
1.780000000000000000e+02	0.000000000000000000e+00	0.000000000000000000e+00	-1.860691524412468709e+02
2.040000000000000000e+02	0.000000000000000000e+00	0.000000000000000000e+00	-2.042379735835447718e+02
2.040000000000000000e+02	0.000000000000000000e+00	1.020000000000000000e+02	-2.021523515704100191e+02
2.040000000000000000e+02	0.000000000000000000e+00	1.530000000000000000e+02	-1.358804765270719486e+02
2.040000000000000000e+02	0.000000000000000000e+00	2.040000000000000000e+02	-1.204511819491415281e+01
2.040000000000000000e+02	0.000000000000000000e+00	5.100000000000000000e+01	-2.064315040471642533e+02
2.040000000000000000e+02	1.020000000000000000e+02	0.000000000000000000e+00	9.223795976992240639e+02
2.040000000000000000e+02	1.020000000000000000e+02	1.020000000000000000e+02	-2.147570779896571196e+02
2.040000000000000000e+02	1.020000000000000000e+02	1.530000000000000000e+02	-1.426998155488429916e+02
2.040000000000000000e+02	1.020000000000000000e+02	2.040000000000000000e+02	-1.277363057627940179e+01
2.040000000000000000e+02	1.020000000000000000e+02	5.100000000000000000e+01	-2.186718521505686681e+02
2.040000000000000000e+02	1.530000000000000000e+02	0.000000000000000000e+00	9.029163153936937078e+02
2.040000000000000000e+02	1.530000000000000000e+02	1.020000000000000000e+02	-2.343429607466760558e+02
2.040000000000000000e+02	1.530000000000000000e+02	1.530000000000000000e+02	-1.613134304637283094e+02
2.040000000000000000e+02	1.530000000000000000e+02	2.040000000000000000e+02	-2.978346942437940470e+01
2.040000000000000000e+02	1.530000000000000000e+02	5.100000000000000000e+01	-2.394512326306848706e+02
2.040000000000000000e+02	2.040000000000000000e+02	0.000000000000000000e+00	8.714067425492686425e+02
2.040000000000000000e+02	2.040000000000000000e+02	1.020000000000000000e+02	-2.645476110836433463e+02
2.040000000000000000e+02	2.040000000000000000e+02	1.530000000000000000e+02	-1.906171692648420617e+02
2.040000000000000000e+02	2.040000000000000000e+02	2.040000000000000000e+02	-5.762169320099781089e+01
2.040000000000000000e+02	2.040000000000000000e+02	5.100000000000000000e+01	-2.699882780942035083e+02
2.040000000000000000e+02	5.100000000000000000e+01	0.000000000000000000e+00	9.241803178686050160e+02
2.040000000000000000e+02	5.100000000000000000e+01	1.020000000000000000e+02	-2.049913332712544332e+02
2.040000000000000000e+02	5.100000000000000000e+01	1.530000000000000000e+02	-1.347622468890089067e+02
2.040000000000000000e+02	5.100000000000000000e+01	2.040000000000000000e+02	-7.982058070692914953e+00
2.040000000000000000e+02	5.100000000000000000e+01	5.100000000000000000e+01	-2.087658496724228030e+02
2.290000000000000000e+02	0.000000000000000000e+00	0.000000000000000000e+00	-2.249429754287396861e+02
2.540000000000000000e+02	0.000000000000000000e+00	0.000000000000000000e+00	-2.506759425743377392e+02
2.500000000000000000e+01	0.000000000000000000e+00	0.000000000000000000e+00	-1.435481420248940765e+02
5.100000000000000000e+01	0.000000000000000000e+00	0.000000000000000000e+00	-1.448051611283805471e+02
5.100000000000000000e+01	0.000000000000000000e+00	1.020000000000000000e+02	-1.515766017381753272e+02
5.100000000000000000e+01	0.000000000000000000e+00	1.530000000000000000e+02	-8.958463216022727238e+01
5.100000000000000000e+01	0.000000000000000000e+00	2.040000000000000000e+02	3.194127293885878771e+01
5.100000000000000000e+01	0.000000000000000000e+00	5.100000000000000000e+01	-1.536556613828963691e+02
5.100000000000000000e+01	1.020000000000000000e+02	0.000000000000000000e+00	9.629313299329554638e+02
5.100000000000000000e+01	1.020000000000000000e+02	1.020000000000000000e+02	-1.634726887077399340e+02
5.100000000000000000e+01	1.020000000000000000e+02	1.530000000000000000e+02	-9.651876201836418545e+01
5.100000000000000000e+01	1.020000000000000000e+02	2.040000000000000000e+02	2.895051768296025330e+01
5.100000000000000000e+01	1.020000000000000000e+02	5.100000000000000000e+01	-1.700266295656135753e+02
5.100000000000000000e+01	1.530000000000000000e+02	0.000000000000000000e+00	9.425088359084772947e+02
5.100000000000000000e+01	1.530000000000000000e+02	1.020000000000000000e+02	-1.834665490896273923e+02
5.100000000000000000e+01	1.530000000000000000e+02	1.530000000000000000e+02	-1.156414884922127726e+02
5.100000000000000000e+01	1.530000000000000000e+02	2.040000000000000000e+02	1.125597476566804289e+01
5.100000000000000000e+01	1.530000000000000000e+02	5.100000000000000000e+01	-1.903150489032314852e+02
5.100000000000000000e+01	2.040000000000000000e+02	0.000000000000000000e+00	9.113692521060577292e+02
5.100000000000000000e+01	2.040000000000000000e+02	1.020000000000000000e+02	-2.142124357321723664e+02
